category,name,relative_path,absolute_path,extension,bytes,last_write_time
stages,VinesweptMarket.zip,stages\VinesweptMarket.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\stages\VinesweptMarket.zip,.zip,4082608,2026-06-14T08:44:34
stages,VP_Ringout_Stages.rar,stages\VP_Ringout_Stages.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\stages\VP_Ringout_Stages.rar,.rar,4968310,2026-06-14T10:05:04
resource_downloads,archive_risk_scan.csv,resource_downloads\archive_risk_scan.csv,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\archive_risk_scan.csv,.csv,0,2026-06-14T13:32:42
resource_downloads,fightPatched.def,resource_downloads\character_references\fightPatched.def,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\character_references\fightPatched.def,.def,10245,2026-06-14T13:32:22
resource_downloads,MvC2_Mouser_Style_Template.zip,resource_downloads\character_references\MvC2_Mouser_Style_Template.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\character_references\MvC2_Mouser_Style_Template.zip,.zip,10658425,2026-06-14T13:32:23
resource_downloads,SheHulkMVC.rar,resource_downloads\character_references\SheHulkMVC.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\character_references\SheHulkMVC.rar,.rar,8631289,2026-06-14T13:24:26
resource_downloads,T.Hawk.rar,resource_downloads\character_references\T.Hawk.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\character_references\T.Hawk.rar,.rar,7324278,2026-06-14T13:32:22
resource_downloads,download_manifest.json,resource_downloads\download_manifest.json,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\download_manifest.json,.json,142481,2026-06-14T13:32:24
resource_downloads,download_summary.json,resource_downloads\download_summary.json,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\download_summary.json,.json,4844,2026-06-14T13:32:56
resource_downloads,Adachi.zip,resource_downloads\ohmsby_drive_1p2lbejwkzXsMxxaRDtsQ-YISPxHXsEAi\Adachi.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\resource_downloads\ohmsby_drive_1p2lbejwkzXsMxxaRDtsQ-YISPxHXsEAi\Adachi.zip,.zip,45580882,2024-08-24T22:32:18
